item_name,variants,cuisine,ingredients,type,occasion,description,price_range,dietary_preference,spice_level,serving_style,popularity_score,dish_text
Undhiyu,"['Royal', 'Express']",Indian (West),[],Dessert,"['Birthday Party', 'Get-together', 'Baby Shower']",Undhiyu is a popular vegetarian dessert from Indian (West) cuisine.,Standard,Vegetarian,Medium,Plated,3.5,Undhiyu - Undhiyu is a popular vegetarian dessert from Indian (West) cuisine. (Indian (West))
Veg Pulao,"['Delight', 'Express']",Indian (South),[],Main Course,"['Office Party', 'Reception', 'Dinner Party', 'Birthday Party']",Veg Pulao is a popular vegetarian main course from Indian (South) cuisine.,Luxury,Vegetarian,Medium,Buffet,4.6,Veg Pulao - Veg Pulao is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Malai Kofta,['Royal'],Indian (North),[],Main Course,"['Housewarming', 'Corporate Lunch', 'Festival', 'Office Party']",Malai Kofta is a popular vegetarian main course from Indian (North) cuisine.,Premium,Vegetarian,Mild,Live Counter,4.7,Malai Kofta - Malai Kofta is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Sambar Rice,"['Royal', 'Classic']",Indian (South),[],Main Course,"['Dinner Party', 'Brunch', 'Festival', 'Corporate Lunch']",Sambar Rice is a popular vegetarian main course from Indian (South) cuisine.,Economy,Vegetarian,Mild,Plated,3.7,Sambar Rice - Sambar Rice is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Kadhi Pakora,"['Delight', 'Royal']",Indian (North),[],Dessert,"['Housewarming', 'Birthday Party', 'Dinner Party', 'Festival']",Kadhi Pakora is a popular vegetarian dessert from Indian (North) cuisine.,Economy,Vegetarian,Medium,Plated,4.2,Kadhi Pakora - Kadhi Pakora is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Pav Bhaji,['Classic'],Indian (West),[],Dessert,"['Dinner Party', 'Wedding']",Pav Bhaji is a popular vegetarian dessert from Indian (West) cuisine.,Standard,Vegetarian,Mild,Plated,4.1,Pav Bhaji - Pav Bhaji is a popular vegetarian dessert from Indian (West) cuisine. (Indian (West))
Veg Fried Rice,['Delight'],Indian (Indo-Chinese),[],Main Course,"['Wedding', 'Reception']",Veg Fried Rice is a popular vegetarian main course from Indian (Indo-Chinese) cuisine.,Luxury,Vegetarian,Spicy,Live Counter,3.6,Veg Fried Rice - Veg Fried Rice is a popular vegetarian main course from Indian (Indo-Chinese) cuisine. (Indian (Indo-Chinese))
Paneer Tikka,"['Express', 'Special']",Indian (North),[],Dessert,"['Get-together', 'Corporate Lunch', 'Office Party']",Paneer Tikka is a popular vegetarian dessert from Indian (North) cuisine.,Premium,Vegetarian,Spicy,Live Counter,4.2,Paneer Tikka - Paneer Tikka is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Rasgulla,['Special'],Indian (East),[],Main Course,"['Housewarming', 'Festival', 'Office Party']",Rasgulla is a popular vegetarian main course from Indian (East) cuisine.,Premium,Vegetarian,Spicy,Live Counter,3.7,Rasgulla - Rasgulla is a popular vegetarian main course from Indian (East) cuisine. (Indian (East))
Rasmalai,['Express'],Indian (East),[],Dessert,"['Baby Shower', 'Reception', 'Brunch']",Rasmalai is a popular vegetarian dessert from Indian (East) cuisine.,Economy,Vegetarian,Mild,Live Counter,4.3,Rasmalai - Rasmalai is a popular vegetarian dessert from Indian (East) cuisine. (Indian (East))
Kesar Kulfi,['Delight'],Indian (North),[],Main Course,"['Corporate Lunch', 'Birthday Party']",Kesar Kulfi is a popular vegetarian main course from Indian (North) cuisine.,Luxury,Vegetarian,Mild,Live Counter,4.3,Kesar Kulfi - Kesar Kulfi is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Gajar Halwa,"['Delight', 'Royal']",Indian (North),[],Dessert,"['Reception', 'Brunch', 'Baby Shower', 'Housewarming']",Gajar Halwa is a popular vegetarian dessert from Indian (North) cuisine.,Economy,Vegetarian,Spicy,Live Counter,3.9,Gajar Halwa - Gajar Halwa is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Jalebi,['Delight'],Indian (North),[],Appetizer,"['Baby Shower', 'Wedding']",Jalebi is a popular vegetarian appetizer from Indian (North) cuisine.,Luxury,Vegetarian,Medium,Buffet,4.1,Jalebi - Jalebi is a popular vegetarian appetizer from Indian (North) cuisine. (Indian (North))
Gulab Jamun,['Classic'],Indian (North),[],Main Course,"['Office Party', 'Birthday Party', 'Baby Shower', 'Festival']",Gulab Jamun is a popular vegetarian main course from Indian (North) cuisine.,Economy,Vegetarian,Medium,Plated,3.6,Gulab Jamun - Gulab Jamun is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Idli Sambar,"['Classic', 'Delight']",Indian (South),[],Main Course,"['Corporate Lunch', 'Reception', 'Office Party']",Idli Sambar is a popular vegetarian main course from Indian (South) cuisine.,Standard,Vegetarian,Mild,Buffet,4.2,Idli Sambar - Idli Sambar is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Vada,"['Delight', 'Royal']",Indian (South),[],Dessert,"['Baby Shower', 'Housewarming', 'Get-together']",Vada is a popular vegetarian dessert from Indian (South) cuisine.,Premium,Vegetarian,Mild,Live Counter,4.7,Vada - Vada is a popular vegetarian dessert from Indian (South) cuisine. (Indian (South))
Pesarattu,['Express'],Indian (South),[],Dessert,"['Wedding', 'Corporate Lunch', 'Birthday Party', 'Baby Shower']",Pesarattu is a popular vegetarian dessert from Indian (South) cuisine.,Premium,Vegetarian,Medium,Live Counter,4.6,Pesarattu - Pesarattu is a popular vegetarian dessert from Indian (South) cuisine. (Indian (South))
Bisibele Bath,['Special'],Indian (South),[],Main Course,"['Brunch', 'Housewarming']",Bisibele Bath is a popular vegetarian main course from Indian (South) cuisine.,Standard,Vegetarian,Spicy,Buffet,4.9,Bisibele Bath - Bisibele Bath is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Vegetable Korma,"['Delight', 'Express']",Indian (South),[],Dessert,"['Festival', 'Baby Shower', 'Brunch']",Vegetable Korma is a popular vegetarian dessert from Indian (South) cuisine.,Economy,Vegetarian,Medium,Buffet,3.7,Vegetable Korma - Vegetable Korma is a popular vegetarian dessert from Indian (South) cuisine. (Indian (South))
Tamarind Rice,"['Delight', 'Express']",Indian (South),[],Main Course,"['Housewarming', 'Office Party']",Tamarind Rice is a popular vegetarian main course from Indian (South) cuisine.,Premium,Vegetarian,Spicy,Buffet,4.0,Tamarind Rice - Tamarind Rice is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Paneer Butter Masala,"['Express', 'Special']",Indian (North),[],Main Course,"['Office Party', 'Housewarming', 'Dinner Party', 'Baby Shower']",Paneer Butter Masala is a popular vegetarian main course from Indian (North) cuisine.,Economy,Vegetarian,Mild,Buffet,3.6,Paneer Butter Masala - Paneer Butter Masala is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Dal Tadka,['Royal'],Indian (North),[],Main Course,"['Office Party', 'Festival', 'Brunch', 'Reception']",Dal Tadka is a popular vegetarian main course from Indian (North) cuisine.,Luxury,Vegetarian,Medium,Live Counter,3.7,Dal Tadka - Dal Tadka is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Vegetable Biryani,"['Classic', 'Special']",Indian (South),[],Dessert,"['Reception', 'Baby Shower', 'Get-together']",Vegetable Biryani is a popular vegetarian dessert from Indian (South) cuisine.,Premium,Vegetarian,Mild,Buffet,4.4,Vegetable Biryani - Vegetable Biryani is a popular vegetarian dessert from Indian (South) cuisine. (Indian (South))
Masala Dosa,"['Special', 'Express']",Indian (South),[],Main Course,"['Reception', 'Birthday Party']",Masala Dosa is a popular vegetarian main course from Indian (South) cuisine.,Economy,Vegetarian,Spicy,Live Counter,3.7,Masala Dosa - Masala Dosa is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Chole Bhature,['Delight'],Indian (North),[],Dessert,"['Corporate Lunch', 'Housewarming', 'Brunch']",Chole Bhature is a popular vegetarian dessert from Indian (North) cuisine.,Economy,Vegetarian,Medium,Live Counter,4.3,Chole Bhature - Chole Bhature is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Rajma Chawal,"['Classic', 'Express']",Indian (North),[],Main Course,"['Office Party', 'Reception', 'Housewarming']",Rajma Chawal is a popular vegetarian main course from Indian (North) cuisine.,Standard,Vegetarian,Spicy,Live Counter,4.6,Rajma Chawal - Rajma Chawal is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Palak Paneer,"['Classic', 'Express']",Indian (North),[],Main Course,"['Housewarming', 'Reception', 'Baby Shower', 'Brunch']",Palak Paneer is a popular vegetarian main course from Indian (North) cuisine.,Luxury,Vegetarian,Mild,Plated,4.8,Palak Paneer - Palak Paneer is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Aloo Gobi,['Classic'],Indian (North),[],Main Course,"['Baby Shower', 'Brunch']",Aloo Gobi is a popular vegetarian main course from Indian (North) cuisine.,Economy,Vegetarian,Medium,Plated,3.8,Aloo Gobi - Aloo Gobi is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Baingan Bharta,['Special'],Indian (North),[],Main Course,"['Wedding', 'Reception']",Baingan Bharta is a popular vegetarian main course from Indian (North) cuisine.,Luxury,Vegetarian,Mild,Live Counter,4.7,Baingan Bharta - Baingan Bharta is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Dhokla,['Delight'],Indian (West),[],Main Course,"['Get-together', 'Festival', 'Dinner Party']",Dhokla is a popular vegetarian main course from Indian (West) cuisine.,Economy,Vegetarian,Spicy,Plated,4.6,Dhokla - Dhokla is a popular vegetarian main course from Indian (West) cuisine. (Indian (West))
Undhiyu,['Classic'],Indian (West),[],Appetizer,"['Wedding', 'Dinner Party']",Undhiyu is a popular vegetarian appetizer from Indian (West) cuisine.,Economy,Vegetarian,Spicy,Live Counter,4.7,Undhiyu - Undhiyu is a popular vegetarian appetizer from Indian (West) cuisine. (Indian (West))
Veg Pulao,['Express'],Indian (South),[],Dessert,"['Corporate Lunch', 'Birthday Party']",Veg Pulao is a popular vegetarian dessert from Indian (South) cuisine.,Standard,Vegetarian,Spicy,Live Counter,4.4,Veg Pulao - Veg Pulao is a popular vegetarian dessert from Indian (South) cuisine. (Indian (South))
Malai Kofta,['Special'],Indian (North),[],Dessert,"['Dinner Party', 'Baby Shower']",Malai Kofta is a popular vegetarian dessert from Indian (North) cuisine.,Premium,Vegetarian,Mild,Buffet,4.5,Malai Kofta - Malai Kofta is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Sambar Rice,['Royal'],Indian (South),[],Dessert,"['Birthday Party', 'Get-together', 'Office Party', 'Corporate Lunch']",Sambar Rice is a popular vegetarian dessert from Indian (South) cuisine.,Standard,Vegetarian,Mild,Plated,4.7,Sambar Rice - Sambar Rice is a popular vegetarian dessert from Indian (South) cuisine. (Indian (South))
Kadhi Pakora,['Delight'],Indian (North),[],Main Course,"['Housewarming', 'Reception', 'Corporate Lunch', 'Wedding']",Kadhi Pakora is a popular vegetarian main course from Indian (North) cuisine.,Standard,Vegetarian,Spicy,Buffet,4.3,Kadhi Pakora - Kadhi Pakora is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Pav Bhaji,['Classic'],Indian (West),[],Dessert,"['Office Party', 'Wedding']",Pav Bhaji is a popular vegetarian dessert from Indian (West) cuisine.,Premium,Vegetarian,Mild,Plated,4.2,Pav Bhaji - Pav Bhaji is a popular vegetarian dessert from Indian (West) cuisine. (Indian (West))
Veg Fried Rice,"['Royal', 'Delight']",Indian (Indo-Chinese),[],Main Course,"['Baby Shower', 'Housewarming', 'Wedding']",Veg Fried Rice is a popular vegetarian main course from Indian (Indo-Chinese) cuisine.,Standard,Vegetarian,Mild,Buffet,3.8,Veg Fried Rice - Veg Fried Rice is a popular vegetarian main course from Indian (Indo-Chinese) cuisine. (Indian (Indo-Chinese))
Paneer Tikka,['Classic'],Indian (North),[],Main Course,"['Reception', 'Birthday Party']",Paneer Tikka is a popular vegetarian main course from Indian (North) cuisine.,Premium,Vegetarian,Spicy,Buffet,3.7,Paneer Tikka - Paneer Tikka is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Rasgulla,['Royal'],Indian (East),[],Main Course,"['Birthday Party', 'Brunch', 'Corporate Lunch', 'Baby Shower']",Rasgulla is a popular vegetarian main course from Indian (East) cuisine.,Economy,Vegetarian,Mild,Live Counter,4.4,Rasgulla - Rasgulla is a popular vegetarian main course from Indian (East) cuisine. (Indian (East))
Rasmalai,"['Express', 'Special']",Indian (East),[],Dessert,"['Festival', 'Brunch', 'Birthday Party', 'Housewarming']",Rasmalai is a popular vegetarian dessert from Indian (East) cuisine.,Economy,Vegetarian,Medium,Buffet,4.1,Rasmalai - Rasmalai is a popular vegetarian dessert from Indian (East) cuisine. (Indian (East))
Kesar Kulfi,"['Classic', 'Delight']",Indian (North),[],Main Course,"['Dinner Party', 'Baby Shower', 'Get-together']",Kesar Kulfi is a popular vegetarian main course from Indian (North) cuisine.,Economy,Vegetarian,Spicy,Plated,4.9,Kesar Kulfi - Kesar Kulfi is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Gajar Halwa,"['Delight', 'Classic']",Indian (North),[],Main Course,"['Dinner Party', 'Wedding', 'Housewarming', 'Reception']",Gajar Halwa is a popular vegetarian main course from Indian (North) cuisine.,Premium,Vegetarian,Mild,Plated,4.6,Gajar Halwa - Gajar Halwa is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Jalebi,"['Special', 'Express']",Indian (North),[],Main Course,"['Get-together', 'Corporate Lunch', 'Birthday Party', 'Office Party']",Jalebi is a popular vegetarian main course from Indian (North) cuisine.,Luxury,Vegetarian,Medium,Live Counter,4.1,Jalebi - Jalebi is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Gulab Jamun,['Express'],Indian (North),[],Main Course,"['Dinner Party', 'Baby Shower', 'Wedding']",Gulab Jamun is a popular vegetarian main course from Indian (North) cuisine.,Luxury,Vegetarian,Medium,Buffet,4.5,Gulab Jamun - Gulab Jamun is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Idli Sambar,"['Special', 'Royal']",Indian (South),[],Dessert,"['Office Party', 'Baby Shower', 'Corporate Lunch', 'Festival']",Idli Sambar is a popular vegetarian dessert from Indian (South) cuisine.,Luxury,Vegetarian,Mild,Live Counter,4.1,Idli Sambar - Idli Sambar is a popular vegetarian dessert from Indian (South) cuisine. (Indian (South))
Vada,"['Classic', 'Special']",Indian (South),[],Dessert,"['Festival', 'Get-together', 'Baby Shower', 'Housewarming']",Vada is a popular vegetarian dessert from Indian (South) cuisine.,Economy,Vegetarian,Mild,Live Counter,4.9,Vada - Vada is a popular vegetarian dessert from Indian (South) cuisine. (Indian (South))
Pesarattu,"['Express', 'Delight']",Indian (South),[],Main Course,"['Wedding', 'Dinner Party', 'Reception', 'Birthday Party']",Pesarattu is a popular vegetarian main course from Indian (South) cuisine.,Luxury,Vegetarian,Spicy,Live Counter,4.8,Pesarattu - Pesarattu is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Bisibele Bath,['Express'],Indian (South),[],Main Course,"['Baby Shower', 'Brunch', 'Corporate Lunch']",Bisibele Bath is a popular vegetarian main course from Indian (South) cuisine.,Premium,Vegetarian,Spicy,Buffet,4.4,Bisibele Bath - Bisibele Bath is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Vegetable Korma,['Express'],Indian (South),[],Main Course,"['Wedding', 'Festival', 'Get-together']",Vegetable Korma is a popular vegetarian main course from Indian (South) cuisine.,Standard,Vegetarian,Mild,Live Counter,3.6,Vegetable Korma - Vegetable Korma is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Tamarind Rice,"['Classic', 'Delight']",Indian (South),[],Main Course,"['Festival', 'Wedding', 'Get-together', 'Baby Shower']",Tamarind Rice is a popular vegetarian main course from Indian (South) cuisine.,Luxury,Vegetarian,Spicy,Plated,5.0,Tamarind Rice - Tamarind Rice is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Paneer Butter Masala,['Special'],Indian (North),[],Main Course,"['Reception', 'Office Party', 'Wedding', 'Festival']",Paneer Butter Masala is a popular vegetarian main course from Indian (North) cuisine.,Luxury,Vegetarian,Spicy,Live Counter,4.9,Paneer Butter Masala - Paneer Butter Masala is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Dal Tadka,['Classic'],Indian (North),[],Dessert,"['Get-together', 'Brunch', 'Corporate Lunch']",Dal Tadka is a popular vegetarian dessert from Indian (North) cuisine.,Economy,Vegetarian,Mild,Plated,3.9,Dal Tadka - Dal Tadka is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Vegetable Biryani,"['Classic', 'Delight']",Indian (South),[],Dessert,"['Reception', 'Office Party']",Vegetable Biryani is a popular vegetarian dessert from Indian (South) cuisine.,Premium,Vegetarian,Medium,Plated,3.6,Vegetable Biryani - Vegetable Biryani is a popular vegetarian dessert from Indian (South) cuisine. (Indian (South))
Masala Dosa,"['Express', 'Delight']",Indian (South),[],Main Course,"['Corporate Lunch', 'Housewarming', 'Brunch']",Masala Dosa is a popular vegetarian main course from Indian (South) cuisine.,Premium,Vegetarian,Mild,Plated,3.9,Masala Dosa - Masala Dosa is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Chole Bhature,['Special'],Indian (North),[],Main Course,"['Wedding', 'Dinner Party', 'Housewarming']",Chole Bhature is a popular vegetarian main course from Indian (North) cuisine.,Economy,Vegetarian,Spicy,Live Counter,4.9,Chole Bhature - Chole Bhature is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Rajma Chawal,"['Classic', 'Special']",Indian (North),[],Appetizer,"['Housewarming', 'Wedding', 'Reception']",Rajma Chawal is a popular vegetarian appetizer from Indian (North) cuisine.,Standard,Vegetarian,Spicy,Buffet,4.5,Rajma Chawal - Rajma Chawal is a popular vegetarian appetizer from Indian (North) cuisine. (Indian (North))
Palak Paneer,"['Delight', 'Express']",Indian (North),[],Main Course,"['Reception', 'Office Party']",Palak Paneer is a popular vegetarian main course from Indian (North) cuisine.,Economy,Vegetarian,Medium,Plated,4.0,Palak Paneer - Palak Paneer is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Aloo Gobi,['Delight'],Indian (North),[],Main Course,"['Housewarming', 'Baby Shower']",Aloo Gobi is a popular vegetarian main course from Indian (North) cuisine.,Economy,Vegetarian,Mild,Buffet,4.5,Aloo Gobi - Aloo Gobi is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Baingan Bharta,"['Express', 'Special']",Indian (North),[],Main Course,"['Wedding', 'Corporate Lunch']",Baingan Bharta is a popular vegetarian main course from Indian (North) cuisine.,Luxury,Vegetarian,Medium,Live Counter,3.5,Baingan Bharta - Baingan Bharta is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Dhokla,"['Royal', 'Express']",Indian (West),[],Dessert,"['Festival', 'Housewarming', 'Corporate Lunch']",Dhokla is a popular vegetarian dessert from Indian (West) cuisine.,Premium,Vegetarian,Medium,Plated,4.5,Dhokla - Dhokla is a popular vegetarian dessert from Indian (West) cuisine. (Indian (West))
Undhiyu,['Delight'],Indian (West),[],Appetizer,"['Reception', 'Dinner Party', 'Festival', 'Corporate Lunch']",Undhiyu is a popular vegetarian appetizer from Indian (West) cuisine.,Premium,Vegetarian,Spicy,Buffet,4.7,Undhiyu - Undhiyu is a popular vegetarian appetizer from Indian (West) cuisine. (Indian (West))
Veg Pulao,"['Special', 'Express']",Indian (South),[],Appetizer,"['Get-together', 'Wedding']",Veg Pulao is a popular vegetarian appetizer from Indian (South) cuisine.,Premium,Vegetarian,Spicy,Plated,4.7,Veg Pulao - Veg Pulao is a popular vegetarian appetizer from Indian (South) cuisine. (Indian (South))
Malai Kofta,"['Special', 'Delight']",Indian (North),[],Dessert,"['Dinner Party', 'Get-together']",Malai Kofta is a popular vegetarian dessert from Indian (North) cuisine.,Standard,Vegetarian,Spicy,Buffet,4.5,Malai Kofta - Malai Kofta is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Sambar Rice,"['Delight', 'Classic']",Indian (South),[],Main Course,"['Birthday Party', 'Housewarming']",Sambar Rice is a popular vegetarian main course from Indian (South) cuisine.,Standard,Vegetarian,Spicy,Buffet,4.3,Sambar Rice - Sambar Rice is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Kadhi Pakora,"['Royal', 'Classic']",Indian (North),[],Main Course,"['Reception', 'Office Party', 'Dinner Party', 'Festival']",Kadhi Pakora is a popular vegetarian main course from Indian (North) cuisine.,Economy,Vegetarian,Spicy,Live Counter,3.9,Kadhi Pakora - Kadhi Pakora is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Pav Bhaji,"['Delight', 'Royal']",Indian (West),[],Dessert,"['Housewarming', 'Corporate Lunch']",Pav Bhaji is a popular vegetarian dessert from Indian (West) cuisine.,Luxury,Vegetarian,Spicy,Live Counter,4.5,Pav Bhaji - Pav Bhaji is a popular vegetarian dessert from Indian (West) cuisine. (Indian (West))
Veg Fried Rice,"['Delight', 'Special']",Indian (Indo-Chinese),[],Appetizer,"['Wedding', 'Corporate Lunch']",Veg Fried Rice is a popular vegetarian appetizer from Indian (Indo-Chinese) cuisine.,Standard,Vegetarian,Medium,Live Counter,3.9,Veg Fried Rice - Veg Fried Rice is a popular vegetarian appetizer from Indian (Indo-Chinese) cuisine. (Indian (Indo-Chinese))
Paneer Tikka,"['Special', 'Express']",Indian (North),[],Dessert,"['Dinner Party', 'Birthday Party', 'Corporate Lunch']",Paneer Tikka is a popular vegetarian dessert from Indian (North) cuisine.,Premium,Vegetarian,Spicy,Live Counter,4.4,Paneer Tikka - Paneer Tikka is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Rasgulla,"['Classic', 'Express']",Indian (East),[],Main Course,"['Brunch', 'Corporate Lunch']",Rasgulla is a popular vegetarian main course from Indian (East) cuisine.,Luxury,Vegetarian,Medium,Plated,4.7,Rasgulla - Rasgulla is a popular vegetarian main course from Indian (East) cuisine. (Indian (East))
Rasmalai,"['Express', 'Delight']",Indian (East),[],Main Course,"['Birthday Party', 'Baby Shower', 'Festival', 'Wedding']",Rasmalai is a popular vegetarian main course from Indian (East) cuisine.,Premium,Vegetarian,Medium,Live Counter,4.3,Rasmalai - Rasmalai is a popular vegetarian main course from Indian (East) cuisine. (Indian (East))
Kesar Kulfi,['Express'],Indian (North),[],Main Course,"['Corporate Lunch', 'Baby Shower', 'Housewarming']",Kesar Kulfi is a popular vegetarian main course from Indian (North) cuisine.,Premium,Vegetarian,Spicy,Live Counter,4.9,Kesar Kulfi - Kesar Kulfi is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Gajar Halwa,['Classic'],Indian (North),[],Dessert,"['Housewarming', 'Get-together', 'Baby Shower']",Gajar Halwa is a popular vegetarian dessert from Indian (North) cuisine.,Luxury,Vegetarian,Spicy,Buffet,3.7,Gajar Halwa - Gajar Halwa is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Jalebi,"['Express', 'Delight']",Indian (North),[],Dessert,"['Brunch', 'Birthday Party']",Jalebi is a popular vegetarian dessert from Indian (North) cuisine.,Luxury,Vegetarian,Spicy,Plated,3.9,Jalebi - Jalebi is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Gulab Jamun,"['Royal', 'Express']",Indian (North),[],Main Course,"['Get-together', 'Festival', 'Reception', 'Corporate Lunch']",Gulab Jamun is a popular vegetarian main course from Indian (North) cuisine.,Premium,Vegetarian,Medium,Live Counter,4.4,Gulab Jamun - Gulab Jamun is a popular vegetarian main course from Indian (North) cuisine. (Indian (North))
Idli Sambar,"['Royal', 'Delight']",Indian (South),[],Main Course,"['Baby Shower', 'Wedding', 'Housewarming']",Idli Sambar is a popular vegetarian main course from Indian (South) cuisine.,Standard,Vegetarian,Medium,Plated,4.7,Idli Sambar - Idli Sambar is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
Vada,['Classic'],Indian (South),[],Main Course,"['Get-together', 'Housewarming', 'Dinner Party', 'Corporate Lunch']",Vada is a popular vegetarian main course from Indian (South) cuisine.,Economy,Vegetarian,Spicy,Buffet,3.7,Vada - Vada is a popular vegetarian main course from Indian (South) cuisine. (Indian (South))
